No.     Time        Source                Destination           Protocol Length Info
   2140 18.969328   192.168.12.66         10.144.0.1            DNS      92     Standard query 0x3ba2 A exp1.rnea.comm.eng.osaka-u.ac.jp
   2141 18.969419   192.168.12.66         10.144.0.1            DNS      92     Standard query 0x43a2 AAAA exp1.rnea.comm.eng.osaka-u.ac.jp
   2142 18.970377   10.144.0.1            192.168.12.66         DNS      108    Standard query response 0x3ba2 A exp1.rnea.comm.eng.osaka-u.ac.jp A 192.168.12.23
   2143 18.971896   10.144.0.1            192.168.12.66         DNS      144    Standard query response 0x43a2 No such name AAAA exp1.rnea.comm.eng.osaka-u.ac.jp SOA gene.comm.eng.osaka-u.ac.jp
   2144 18.972480   192.168.12.66         192.168.12.23         TCP      74     42522 → 5000 [SYN] Seq=4044280001 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=3712487604 TSecr=0 WS=128
   2145 18.974209   192.168.12.23         192.168.12.66         TCP      74     5000 → 42522 [SYN, ACK] Seq=1438445294 Ack=4044280002 Win=65160 Len=0 MSS=1460 SACK_PERM=1 TSval=2689562944 TSecr=3712487604 WS=128
   2146 18.974294   192.168.12.66         192.168.12.23         TCP      66     42522 → 5000 [ACK] Seq=4044280002 Ack=1438445295 Win=64256 Len=0 TSval=3712487606 TSecr=2689562944
   2147 18.974476   192.168.12.66         192.168.12.23         IPA      227    unknown 0x53 
   2148 18.974618   192.168.12.66         192.168.12.23         IPA      1514   unknown 0x4e 
   2149 18.974640   192.168.12.66         192.168.12.23         IPA      1514   unknown 0x6e 
   2150 18.974654   192.168.12.66         192.168.12.23         IPA      1514   unknown 0xbc 
   2151 18.974667   192.168.12.66         192.168.12.23         IPA      1514   unknown 0x23 
   2152 18.974681   192.168.12.66         192.168.12.23         IPA      1514   unknown 0xb5 
   2153 18.974734   192.168.12.66         192.168.12.23         RSL      1514   ip.access PDCH DEACTIVATION 
   2154 18.974761   192.168.12.66         192.168.12.23         IPA      1514   unknown 0x61 
   2155 18.974775   192.168.12.66         192.168.12.23         IPA      1514   unknown 0x87 
   2156 18.974788   192.168.12.66         192.168.12.23         IPA      520    OSMO EXT unknown 0xe6 
   2157 18.975679   192.168.12.23         192.168.12.66         TCP      66     5000 → 42522 [ACK] Seq=1438445295 Ack=4044280163 Win=65024 Len=0 TSval=2689562946 TSecr=3712487606
   2158 18.975684   192.168.12.23         192.168.12.66         TCP      66     5000 → 42522 [ACK] Seq=1438445295 Ack=4044285955 Win=61312 Len=0 TSval=2689562946 TSecr=3712487606
   2159 18.975688   192.168.12.23         192.168.12.66         TCP      66     5000 → 42522 [ACK] Seq=1438445295 Ack=4044287403 Win=60288 Len=0 TSval=2689562946 TSecr=3712487606
   2160 18.975693   192.168.12.23         192.168.12.66         TCP      66     5000 → 42522 [ACK] Seq=1438445295 Ack=4044288851 Win=59392 Len=0 TSval=2689562946 TSecr=3712487606
   2161 18.975920   192.168.12.23         192.168.12.66         TCP      66     5000 → 42522 [ACK] Seq=1438445295 Ack=4044290299 Win=58368 Len=0 TSval=2689562946 TSecr=3712487606
   2162 18.975924   192.168.12.23         192.168.12.66         TCP      66     5000 → 42522 [ACK] Seq=1438445295 Ack=4044291747 Win=57472 Len=0 TSval=2689562946 TSecr=3712487606
   2163 18.975929   192.168.12.23         192.168.12.66         TCP      66     5000 → 42522 [ACK] Seq=1438445295 Ack=4044292201 Win=57088 Len=0 TSval=2689562946 TSecr=3712487606
   2167 19.161365   192.168.12.23         192.168.12.66         IPA      83     unknown 0x54 
   2168 19.161501   192.168.12.66         192.168.12.23         TCP      66     42522 → 5000 [ACK] Seq=4044292201 Ack=1438445312 Win=64256 Len=0 TSval=3712487793 TSecr=2689563131
   2169 19.161369   192.168.12.23         192.168.12.66         IPA      434    unknown 0x6e 
   2171 19.163987   192.168.12.66         192.168.12.23         TCP      66     42522 → 5000 [FIN, ACK] Seq=4044292201 Ack=1438445681 Win=64128 Len=0 TSval=3712487796 TSecr=2689563131
   2172 19.165384   192.168.12.23         192.168.12.66         TCP      66     5000 → 42522 [ACK] Seq=1438445681 Ack=4044292202 Win=64128 Len=0 TSval=2689563135 TSecr=3712487796
